app,desc,org,star,url
"My Prayer: Qibla, Athan, Quran",  所有最佳伊斯蘭應用程序在一個穆斯林應用：祈禱時間，古蘭經，聖訓朝拜宣禮    ,"Active Mobile Applications, LLC",4.6,https://play.google.com/store/apps/details?id=com.mobileappsteam.myprayer
Quran for Android,  一個美麗的古蘭經應用程序為Android。    ,quran.com,4.7,https://play.google.com/store/apps/details?id=com.quran.labs.androidquran
禱告時間所有的祈禱,  禱告時間所有祈禱的是Android應用程序在手機上的報警。    ,MarkTiger,4.4,https://play.google.com/store/apps/details?id=com.azan.prayer.athan.time
Athan Pro Muslim: Prayer Times Quran & Qibla,  被譽為最好的移動應用程序的ATHAN祈禱時間，古蘭經，聖訓，朝拜齋月    ,Quanticapps Ltd,4.5,https://play.google.com/store/apps/details?id=com.quanticapps.athan
My Prayer,  計算穆斯林禱告時間لحسابمواقيتالصلوات    ,Azure Droid,4.7,https://play.google.com/store/apps/details?id=com.haz.prayer
Athanotify - prayer times,  伊斯蘭祈禱時間，朝拜，回歷，報警，伊斯蘭每天提醒...    ,el cheikh,4.7,https://play.google.com/store/apps/details?id=com.athanotify
"Muslim Ummah - Quran, Prayer Times, Qibla, Ramadan",  建立一個社區所有穆斯林特色的古蘭經，祈禱時間和齋月    ,Muslim Ummah,4.7,https://play.google.com/store/apps/details?id=com.muslim.android
朝拜指南針 - 禱告時間和齋月2018年,"  Find Qibla with Map, Prayer Times, Islamic Date Converter with multiple Azan.    ",AppSourceHub,4.5,https://play.google.com/store/apps/details?id=com.qiblafinder.prayertime.hijricalendar
Time for Pray,  穆斯林祈禱時間的Cardinally新鮮和重新定義表示。    ,Ruslan Elmurzaev,4.8,https://play.google.com/store/apps/details?id=com.namaztime
أدعية وأذكار حصن المسلم,  在我們的日常生活中，並在我們與人交往Alozcarelta不可或缺    ,RootDev,4.7,https://play.google.com/store/apps/details?id=com.hisn.almuslim
برنامج المؤذن و القبلة و حصن المسلم,  世界上穆斯林全方向+方向+要塞的所有國家祈禱時間    ,Arab Boxx,4.5,https://play.google.com/store/apps/details?id=com.arabboxx.moazen
謝謝蘇丹MP3,  敘述蘇丹蘇丹的古蘭經中的Juz Amma    ,yuumedia,4.5,https://play.google.com/store/apps/details?id=com.andromo.dev27966.app214596
آذان وأذكار,  畫廊和紀念穆斯林和朝拜方向    ,A.Abdo,4.7,https://play.google.com/store/apps/details?id=com.abdo.azan.zikr
"Daily Supplications (Duas, Quran, Salat)",  閱讀和日常傾聽來自古蘭經和松納超過300懇求。    ,YoubO apps,4.8,https://play.google.com/store/apps/details?id=inc.com.youbo.invocationsquotidiennes.free
古兰经简体中国,  铝古兰经卡里姆与MP3朗读，翻译和音译应用    ,Quran Reading,4.7,https://play.google.com/store/apps/details?id=com.QuranReading.qurannow
الأذان : مواقيت الصلاة,  應用耳禱告時間的專業提醒您每日五次的祈禱朝拜方向的到達時間    ,Izemtech Inc,4.7,https://play.google.com/store/apps/details?id=com.izemtech.athan_salaat
穆斯林阿桑 - 古蘭經，基布拉，禱告時報和阿贊,  跟Athan跟踪每天伊斯蘭祈禱時間，並獲得準確的齋月計時    ,Guru Apps Studio,4.7,https://play.google.com/store/apps/details?id=com.muslim.athan.ramadantimes
Муслим тақвими (намоз ва азон),  穆斯林taқvimi -  Namozov群島氮酮Dastur。穆斯林Taqwa  - 祈禱和宣禮。    ,Al Khorazmiy,4.8,https://play.google.com/store/apps/details?id=com.alkhorazmiy.muslimtaqvim
Adan Maroc, اوقاتالصلاةفيالمغرب，اتجاهالقبلة，اذكار祈禱時間    ,Mazoul dev,4.7,https://play.google.com/store/apps/details?id=ma.maznet.eladan
穆斯林应用 - Qibla和唤礼,  为穆斯林人最使用方便的应用！唤礼，指南针在我们应用里。    ,Craigpark Limited,4.7,https://play.google.com/store/apps/details?id=park.ramadan.app
"Prayer Times, Athan and Qibla",  祈禱次ATHAN通知和朝拜的方向。    ,Andi Unpam,4.4,https://play.google.com/store/apps/details?id=com.andi.waktusholatdankiblat
祈禱時間：朝拜指南針，古蘭經和齋月2018年,  祈禱時間與齊布拉，Hijri，古蘭經，Azan，齋月時代，Tasbeeh。    ,AppSourceHub,4.6,https://play.google.com/store/apps/details?id=com.prayertimes.qibla.appsourcehub
視覺朝拜方向,  最終的移動朝拜方向應用，由你自己核實朝拜方向    ,Samer Joudi,4.4,https://play.google.com/store/apps/details?id=com.geospatialtechnology.visualqiblah
Muslim Companion: Ramadan 2018,  薩拉特追踪與Qibla，祈禱時代，古蘭經，齋月時代，Sadaqah等。    ,AppSourceHub,4.7,https://play.google.com/store/apps/details?id=com.ramadan.appsourcehub
Azan Saudi Arabia,  阿贊沙特計算祈禱，古蘭經，Azkar，朝拜的時間。    ,Mazoul dev,4.8,https://play.google.com/store/apps/details?id=ma.mazdev.azan.saudi
Qibla Direction Finder Compass,  查找朝拜，kibla，帶指南針kiblah方向。搜索方向朝拜指南針    ,One Tap Games Studio,4.3,https://play.google.com/store/apps/details?id=com.apps.compass.qibla
"Prayer times, Qiblah, Adzan",  對於穆斯林與麥加方向定位禱告時間表（自動adzan）    ,BriXzeN,4.4,https://play.google.com/store/apps/details?id=com.brixzen.jadwalsholat
古蘭經 - 穆斯林伊斯蘭 القرآن,  是一个非常棒的可兰经应用程序。它让你在忙碌中也能阅读和听古兰经    ,Pakdata,4.8,https://play.google.com/store/apps/details?id=com.pakdata.QuranMajeed
Islamic Prayer Times Qibla Salat Locator,  祈禱時報朝拜和世界各地的城市定位朝拜薩拉特伊斯蘭教祈禱時報    ,Islam.ms,4.7,https://play.google.com/store/apps/details?id=net.sunnite.qiblasalat
Al-Quran (Free),  所有Suras..All Text..No互聯網كلالسورنصكاملبدونانترنت    ,ISYSWAY,4.6,https://play.google.com/store/apps/details?id=com.isysway.free.alquran
المؤذن : اوقات الصلاة,  2018宣禮員隨時更新，每個國家祈禱時間相當具體的世界    ,smart arab apps,4.8,https://play.google.com/store/apps/details?id=com.tota.mothen
Ezan Vakti Pro Lite,  的專業版ATHAN Vakti功能降低。    ,Maviay®,4.4,https://play.google.com/store/apps/details?id=com.mobilexsoft.ezanvaktilite
鋁古蘭經30一卷離線,  古蘭經書下線像實際古蘭經閱讀您的Android設備。    ,khasologix,4.7,https://play.google.com/store/apps/details?id=com.khaso.alquran.holybook.read.offline
المؤذن الألكتروني,  宣禮員的郵件，以確定禱告時間對世界上所有國家    ,A_Team,4.7,https://play.google.com/store/apps/details?id=com.electronicmoazen
"Salaat First 2018 - Prayer Times, Adhan and Qibla",  祈禱時間和朝拜方向，無論你是！    ,Assraab Abdelwahed,4.8,https://play.google.com/store/apps/details?id=com.trg.salat
禱告時間：Azan Alarm，Qibla,  所有穆斯林的最佳穆斯林配套Android應用程序。    ,Fauztech,4.5,https://play.google.com/store/apps/details?id=com.fauztech.prayer.times.salat.azan.alarm.qibla
Prayer Time & Qibla for India,  禱告時間在手機上，包括tahajud在手機上和窗口小部件    ,ARz,4.8,https://play.google.com/store/apps/details?id=arz.prayertimeindia
Qibla (朝拜方向和祈禱時間),  现在你可以找到方向的Qibla和你的位置和你的速度    ,khaled habbachi,4.6,https://play.google.com/store/apps/details?id=com.khalnadj.khaledhabbachi.myqiblah
100% Qibla Finder,  低尺寸朝拜定位器。顯示全球100％的克爾白方向。簡單和方便。    ,Muslim Assistant,4.2,https://play.google.com/store/apps/details?id=com.hundred.qibla.finder
Al'Quran Bahasa Indonesia,  閱讀印尼古蘭經    ,Seconda Variante,4.6,https://play.google.com/store/apps/details?id=com.martinvillar.android.quranindonesia
Quran Read and Listen Offline,  背誦和聽古蘭經離線使用，例如實際古蘭經書在你的手。    ,Sea Pack Solutions,4.8,https://play.google.com/store/apps/details?id=com.innovative.quran.holybook.offline.read
Adhan Time Holy Quran Classic,  伊斯蘭生活助理    ,Maviay®,4.5,https://play.google.com/store/apps/details?id=com.mobilexsoft.ezanvaktiold
Prayer Times ( أوقات الصلاة ) : Qibla Direction,  祈禱時間，朝拜方向，伊斯蘭教哈伊裡Calener和杜阿的在一個應用程序。    ,"JZZ The I.T Solution, Pvt. Ltd.",4.7,https://play.google.com/store/apps/details?id=com.jzz.the.it.solutions.ramdan.timmings.timmings
阿赞警报,  伊斯兰实用的应用程序，古兰经，宣礼的时间和更多的功能。    ,TURKUAZ SOFT,4.5,https://play.google.com/store/apps/details?id=com.turkuazsoftware.ezanalarm
"Islamuna: Prayer Times, Ramadan Time, Quran, Naats",  祈禱時間，齋月時報齋月日曆，古蘭經卡里姆NAAT，朝拜方向    ,Hamariweb.com,4.8,https://play.google.com/store/apps/details?id=com.hamariweb.islamuna
Ezan Vakti - Ezan Dinle,  祈禱時間所有國家。你可以用宣禮鈴聲聽到。    ,6th Pro,4.3,https://play.google.com/store/apps/details?id=com.Gthpro.ezanzilsesi
Adzan Indonesia : jadwal sholat 2018,  印尼宣禮計算在印尼，古蘭經，Azkar，朝拜禱告時間表。    ,Mazoul dev,4.6,https://play.google.com/store/apps/details?id=ma.jadwal.sholat.indonesia
My Prayers,  它與祈禱時間，朝拜，Azkars，清真寺和更多的伊斯蘭應用程序。    ,Kosrat D. Ahmad,4.8,https://play.google.com/store/apps/details?id=com.kosratdahmad.myprayers
伊斯蘭教的“古蘭經在中國”,  貴族古蘭經很多功能，可以閱讀，聆聽和學習    ,dimach.cassiope,4.8,https://play.google.com/store/apps/details?id=com.chaks.quran
Quran Pro Muslim: MP3 Audio offline & Read Tafsir,  古蘭經應用程序是在世界上塔費爾濃縮最好的古蘭經謝赫    ,Quanticapps Ltd,4.8,https://play.google.com/store/apps/details?id=com.quanticapps.quranandroid
مواقيت الصلاة في مصر,  在埃及祈禱時間被設計成象徵祈禱時間，朝拜，宣禮員，可蘭經..    ,Mazoul dev,4.8,https://play.google.com/store/apps/details?id=ma.mazdev.azan.egypt
Al Quran Audio (Full 30 Juz),  這些都是一些最好的古蘭經背誦年代最流行的卡里的    ,JJT Dev,4.7,https://play.google.com/store/apps/details?id=com.alquran.full.juzz.free.js
MP3 Quran,  市場上最簡單的古蘭經應用，U盤可以下載，聽，讀古蘭經在旅途    ,Ultimate Vision,4.6,https://play.google.com/store/apps/details?id=appinventor.ai_hamada_yousef_o.MP3Quruan_2
Step By Step Salah - Namaz,  有用的應用程序來學習提供薩拉赫有道    ,Quran Reading,4.6,https://play.google.com/store/apps/details?id=com.quranreading.stepbystepsalat
Ayat - Al Quran,  綜合古蘭經應用（電子Mosshaf）具有獨特的功能。    ,ETC KSU,4.7,https://play.google.com/store/apps/details?id=sa.edu.ksu.Ayat
Prayer Times and Qibla,  祈禱時間，宣禮，報警，朝拜，最近的清真寺。無廣告。    ,zero_,4.6,https://play.google.com/store/apps/details?id=com.reworewo.prayertimes
Al Quran (Tafsir & by Word),  通過測字，有色Tajweed和塔費爾學習古蘭經通過字    ,GreenTech Apps,4.8,https://play.google.com/store/apps/details?id=com.greentech.quran
Kuwait Prayer Times,  科威特PrayerTimes是第一個應用程序，使您在科威特的祈禱時間。    ,NEG3A LABS,4.6,https://play.google.com/store/apps/details?id=com.PrayerTimes
مواقيت الصلاة العراق 2018,  在伊拉克祈禱時間被設計成計算在伊拉克，耳朵，古蘭經祈禱的時候，dhikr的    ,Mazoul dev,4.7,https://play.google.com/store/apps/details?id=ma.mazdev.azan.iraq
众先知的故事 | 音频 & 文本,  阅读和听伊斯兰教先知的故事。伊玛目伊本本Kathir。    ,Jannaty Pro,4.8,https://play.google.com/store/apps/details?id=qisasanboya.storyofprophets.kisasanbiya
Namaz Vakitleri & Kıble Bulma,  千萬不要錯過禱告時間！找到最近的清真寺，也很容易看到朝拜的方向。    ,Ozwork,4.2,https://play.google.com/store/apps/details?id=com.su.prayertimes
Learn Quran Tajwid: 学习阅读古兰经,  学习诵读正确阿拉伯语古兰经以及改善您的太吉韦德和发音部位    ,www.learn-quran.co,4.7,https://play.google.com/store/apps/details?id=com.bi.learnquran
Azan India : prayer time india 2018,  阿贊印度計算在印度，古蘭經，朝拜，祈禱Adkar時間...    ,Mazoul dev,4.7,https://play.google.com/store/apps/details?id=ma.mazdev.azan.india
कुरान मजीद (हिंदी)   ||   Al Quran Hindi,  在印地文的高品質全古蘭經馬吉德應用。    ,Multi Tech Software,4.8,https://play.google.com/store/apps/details?id=com.muslim.quran_hindi
Quran English,  古蘭經有英文翻譯，一字一句，祈禱時間和ATHAN報警。    ,Andi Unpam,4.8,https://play.google.com/store/apps/details?id=com.andi.alquran.en
Adzan Times & Qur'an,  應用程序將幫助你提醒祈禱時間，閱讀古蘭經和Hadits    ,M HUSNI SYAHBANI,4.5,https://play.google.com/store/apps/details?id=com.hmobile.adzantimes
Al-Quran Mp3 (Full 30 Juz),  著名朗誦古蘭經的MP3（30一卷，144古蘭經）    ,MahaStudio,4.7,https://play.google.com/store/apps/details?id=com.alquran.audio.maha
Islamic Calendar /Prayer Times /Qibla /Find Masjid,  萬年曆最佳設計，日期轉換，祈禱時間，朝拜和清真寺定位器。    ,ARz,4.7,https://play.google.com/store/apps/details?id=arz.islamiceventmanager
人 古蘭經,  完整的古蘭經文和翻譯與美觀易用的用戶界面    ,EALIM TECHNOLOGY LIMITED,4.5,https://play.google.com/store/apps/details?id=com.eAlimTech.Quran
Prayer Times,  在世界上的任何位置找到祈禱時序中的應用。    ,Dawat-e-Islami,4.7,https://play.google.com/store/apps/details?id=com.dawateislami.namaz
Qibla Compass Azan祷告时间,  Qibla Finder与祷告时代和Asmaul Husna 99个真主的名字    ,khasologix,4.4,https://play.google.com/store/apps/details?id=com.khaso.qiblafinder.prayertimes.asmaulhusna
Qibla - Arah Kiblat,  準確的朝拜取景器，現在很容易地找到朝拜方向。    ,ItCoil,4.1,https://play.google.com/store/apps/details?id=com.itcoil.qiblafinder
Dua & Azkar,  杜阿和Azkar是每天的日常Du'a和Azkar最真實的應用程序之一    ,Ahsanul Haque,4.7,https://play.google.com/store/apps/details?id=com.ls.arabic
最美麗的聲音宣禮,  最美麗的聲音宣禮    ,PROFETTIONAL_APP,4.5,https://play.google.com/store/apps/details?id=com.boom.adanIslam
Namaz Vakti,  宗教事務 - 祈禱基坑中的應用    ,Diyanet İşleri Başkanlığı,4.4,https://play.google.com/store/apps/details?id=com.mobilion.diyanet.namazvakit
Al Quran MP3 Full Offline,  所有在這個應用程序古蘭經背誦都是免費下載和蔓延為MP3。    ,andromoapp,4.7,https://play.google.com/store/apps/details?id=com.andromo.dev442089.app510450
Azan MP3,  美麗的阿贊    ,yuumedia,4.5,https://play.google.com/store/apps/details?id=com.andromo.dev27966.app213222
"Qibla Locator: Prayer Times, Azan & Ramadan 2018","  Qibla Finder with Ramadan 2018, Salah Times, Map, Azan Alarms,  Calendar & more.    ",SoulAppsWorld Tech,4.6,https://play.google.com/store/apps/details?id=com.qiblacompass.finder
Islamic Prayer Time & Calendar,  在一個應用程序，回歷比公曆，祈禱時間，麥加方向和古蘭經杜阿斯    ,Mohamed Rabbani,4.5,https://play.google.com/store/apps/details?id=com.imam.islamiccalendar
Auto Azan Alarm,  根據你的位置自動喚禮報警和自動報警齋月    ,AlijSoftSolution,4.7,https://play.google.com/store/apps/details?id=com.alijdeveloper.autoazanalarm
iQuran Lite,  閱讀“古蘭經”在阿拉伯語中除了翻譯，與彩色編碼Taj​​weed。    ,Beehive Innovation Services,4.7,https://play.google.com/store/apps/details?id=com.guidedways.iQuran
朝向定位搜索,  找到朝拜的方向无论你在哪里。使用指南针和地图。    ,Heidi Mobil Apps,4.1,https://play.google.com/store/apps/details?id=org.dtalpen.qibla
Surah Yasin,  閱讀古蘭經亞辛與意譯，音譯和背誦了2朗誦者    ,Quran Reading,4.7,https://play.google.com/store/apps/details?id=com.QuranReading.SurahYaseen
HOLY QURAN - القرآن الكريم,  背誦古蘭經與真實的感覺，就像在你的手的實際古蘭經。    ,FanzeTech,4.8,https://play.google.com/store/apps/details?id=com.fanzetech.quran
學習 古蘭經 朗誦， 記憶 古蘭經,  學習，記住古蘭經的誦讀，最適合孩子。    ,Utility Daily Apps,4.6,https://play.google.com/store/apps/details?id=com.smartthoughtapps.learn.quran.recitation.forkids
Micro Qibla,  光滑，重量輕，速度快; 0.02MB下載大小而已！    ,L33CH.com,4.2,https://play.google.com/store/apps/details?id=com.l33ch.qibla.free
古兰经Bahasa Melayu MP3文件,  古兰经Kareem与马来歌颂与翻译mp3    ,Quran Reading,4.7,https://play.google.com/store/apps/details?id=com.QuranReading.quranmelayu
Quran Mp3 and Audio,  免費的音頻古蘭經和MP3    ,ISLAMIC-APPS,4.8,https://play.google.com/store/apps/details?id=com.IslamicApps.QuranMp3.Quran.QuranAudio
Scan Halal,  數以百萬計的穆斯林的信賴。世界上最大的清真產品指南    ,Scan Halal,4.1,https://play.google.com/store/apps/details?id=com.anasrazzaq.scanhalal
Quran with Urdu Translation,  用烏爾都語翻譯安裝美麗的古蘭經馬吉德    ,Quran Reading,4.7,https://play.google.com/store/apps/details?id=com.QuranReading.urduquran
Al Quran MP3 (Full Offline),  現在聽全古蘭經離線沒有互聯網連接    ,SY Media,4.8,https://play.google.com/store/apps/details?id=com.andromo.dev445584.app545102
Islamic(Urdu) Calendar 2018,  伊斯蘭（烏爾都語）日曆2018    ,raansh developers,4.5,https://play.google.com/store/apps/details?id=com.ansh.urducalendar
Qibla Compass: A Minimal Qibla Direction Locator,  準確和優雅的朝拜定向儀的Namaz。    ,Naaz Apps,4.7,https://play.google.com/store/apps/details?id=com.naaz.toolkit.rooh.qibla.compass
"Ramadan 2018 & Prayer timings, Qibla Compass",  全球齋月2018與禱告計時，指南針朝拜，附近的清真寺，Tasbeeh。    ,MUSKAN TECH,4.6,https://play.google.com/store/apps/details?id=com.muskantech.ramadancalendar2017
40 Rabbanas（duaas可蘭經）,  這40 Rabbanas在“可蘭經”    ,dimach.cassiope,4.6,https://play.google.com/store/apps/details?id=com.chaks.rabbana
伊斯兰历,  伊斯兰历（回历）是一个应用程序的从格雷戈里日期转换回历    ,Kodelokus Cipta Aplikasi,4.6,https://play.google.com/store/apps/details?id=com.kodelokus.hijri
Al Athan : Prayer Times,  人ATHAN是非常精確的應用程序通過用戶位置檢測祈禱時間    ,Islamiatuk,4.7,https://play.google.com/store/apps/details?id=com.islamiatuk.athan_salat_precise
Al Quran Al karim,  瀏覽古蘭經像印刷版。    ,Mohamed Dahroug,4.6,https://play.google.com/store/apps/details?id=com.yallasoft.quran
Salaat first 2018 - horaires de prière,  salaat首先提供穆斯林祈禱小時，朝拜的方向    ,marodroid,4.8,https://play.google.com/store/apps/details?id=org.marodroid.salatfirst
朝拜发现者：祈祷时间和斋月2018年,  祈祷时间的契波拉发现者，Azan，斋月2018，Qibla Compass＆More。    ,RabbiApps,4.5,https://play.google.com/store/apps/details?id=com.prayertimes.qiblafinder
古兰经古兰经（智能筆）,"  可兰经,没有广告, 线上麦加 麦地那,颂神, 指南针,无线电可兰经,30 读者,160 祈祷    ",Sigma Telecom LLC,4.7,https://play.google.com/store/apps/details?id=com.cellsigma.kalemKuran
القران الكريم كامل 95 مقرئ بدون أنترنت,  古蘭經朗誦者滿95    ,Andro 2014,4.6,https://play.google.com/store/apps/details?id=fr.meilleurlogiciel.holyquranpro
Top Islamic Ringtones 2018,  免費伊斯蘭阿拉伯鈴聲伊斯蘭歌曲下載免費的MP3    ,Top Free Ringtones,4.7,https://play.google.com/store/apps/details?id=islamic.ringtones.islamicRingtones2017.islamicsongs2017
指南針朝拜方向,  讓你的朝拜方向，說祈禱在朝著正確的方向    ,Islamic world,4.1,https://play.google.com/store/apps/details?id=com.islam.islamic.compass.qibla.direction
المؤذن الجديد,  新的宣禮員    ,Infinite Lab,4.5,https://play.google.com/store/apps/details?id=tamer.android.prayertimes
Surah Yaseen,  古蘭經亞辛（古蘭經的）是朗誦伊斯蘭智能手機的應用程序。    ,123Muslim,4.8,https://play.google.com/store/apps/details?id=com.islam.suratyaseen
Mishary Full Offline Quran MP3,  謝赫·拉希德Mishary完整Alafasy古蘭經MP3古蘭經Offline.Full離線    ,KareemTKB,4.8,https://play.google.com/store/apps/details?id=com.andromo.dev531271.app502642
Remind Me | Auto Athkar - En,  提醒我|永遠不要忘記提到真主。自動Athkar / Azkar .. dhikr的提醒    ,Mohammad AL-Ali,4.6,https://play.google.com/store/apps/details?id=com.shamDroid.RemindMe
"Islamic Calendar: Athan, Prayer time, Qibla, Quran",  伊斯蘭歷加15穆斯林應用：ATHAN，祈禱時間，可蘭經，朝拜指南針    ,ImranQureshi.com,4.5,https://play.google.com/store/apps/details?id=com.EaseApps.IslamicCalFree
教孩子古蘭經1,  教孩子古蘭經1    ,4enc.com,4.6,https://play.google.com/store/apps/details?id=air.Teaching.Kids.the.Holy.Quran.A4enc
每日杜阿对儿童 - 系列杜阿阿拉伯语录音是根据穆斯林的书,  每日杜阿对儿童 - 系列杜阿阿拉伯语录音是根据穆斯林的书    ,Osratouna,4.7,https://play.google.com/store/apps/details?id=com.osratouna.translateddowaa
HOLY QURAN (Read Free),  輕鬆背誦古蘭經。你覺得在你的手真古蘭經頁面。    ,Sahell,4.8,https://play.google.com/store/apps/details?id=com.sahell.holyquran
اتجاه القبلة, هذاالبرنامجيبيناتجاهالقبلةباستخدامالبوصلةوجيبياس    ,Euphrates Media,4.2,https://play.google.com/store/apps/details?id=com.euphratesmedia.findqibla_arabic
Memorize Quran,  程序記憶古蘭經    ,Ottoman Software,4.6,https://play.google.com/store/apps/details?id=com.engineery.memorizequran
Uzbek Quran Audio,  O'zbekcha Qur'on古蘭經MP3音頻聲音的聲音 - 音頻ovozli ovoz    ,App para smartphone Android,4.8,https://play.google.com/store/apps/details?id=com.doceapps_alcorao_audio_uzbek.doceapps_alcorao_audio_uzbek
Quran with English Translation,  古蘭經與翻譯 - 讀和聽古蘭經英語翻譯    ,Quran-Online,4.8,https://play.google.com/store/apps/details?id=com.quran.tmenglishtranslation
myQuran - Quran with Tafsir,  古蘭經的意義和塔費爾的翻譯。    ,Gatafan Ltd.,4.9,https://play.google.com/store/apps/details?id=com.gatafan.myquran
Al Sudais Full Quran Offline,  高品質的完成古蘭經阿卜杜勒·拉赫曼·Sudais。聽完整古蘭經Sudais現在    ,KareemTKB,4.8,https://play.google.com/store/apps/details?id=com.andromo.dev391844.app455786
القران الكريم بالتفسير,  可蘭經的計劃，閱讀和聽口譯和搜索的可能性朗誦    ,Hakem Zaied,4.7,https://play.google.com/store/apps/details?id=com.nanosoft.holy.quran
Hisnul Muslim | حصن المسلم,  來自古蘭經和聖訓正宗的懇求    ,admads.com,4.7,https://play.google.com/store/apps/details?id=com.admads.android.HisnulMuslim_Google_JQM
Salaat first - Horaires de salat,  Salaat首先允許被通知祈禱時間表（宣禮）    ,Salat Studio,4.7,https://play.google.com/store/apps/details?id=com.adhan.salat
القرآن الكريم بدون انترنت,  閱讀全文古蘭經沒有互聯網    ,Mohamed Hussien,4.6,https://play.google.com/store/apps/details?id=com.mohamedhussien.readquran.offline
Azan mp3 Fajr,  免費阿贊的MP3晨2018 100多漂亮阿贊來自世界各地的    ,Abidah AI,4.6,https://play.google.com/store/apps/details?id=com.dariayahuntukabidah.abidahai.azanmp3fajr
可蘭經,  交流可以讓你沒有互聯網卡里姆閱讀    ,Bekir Kaya,4.7,https://play.google.com/store/apps/details?id=com.manevikardeslik.kuran
Muslim kids guide Salah & Wudu,  薩拉赫和五毒是孩子們一個伊斯蘭的應用程序（兒童）    ,Osratouna,4.8,https://play.google.com/store/apps/details?id=com.salah.osratouna
اذكار المسلم - ينبه تلقائياً,  追憶穆斯林 - 來自古蘭經和祈禱經文 - 它會自動顯示    ,Ammanify,4.8,https://play.google.com/store/apps/details?id=ammanify.apps.auto_athkar
古蘭經tajweed,  智能古蘭經應用，可幫助完善這個學/有tajweed背誦可蘭經    ,Al Noor Apps - 3D & VR Islamic Apps,4.8,https://play.google.com/store/apps/details?id=com.al.quran.tajweed
French Quran Audio,  古蘭經法語 - 法國古蘭經音頻聲音語音MP3    ,App para smartphone Android,4.7,https://play.google.com/store/apps/details?id=com.doceapps_alcorao_audio_french.doceapps_alcorao_audio_french
古兰经 MP3,  古兰经 中国 - Chinese Audio Holy Quran MP3 - 音频 声音 语音    ,Deda´s Applications,4.6,https://play.google.com/store/apps/details?id=com.quran_mp3_multi.quran_mp3_multi
Full Quran Abdulbasit Offline,  Abdulbasit A​​bdussamad古蘭經完整mp3下線。 Abdulbasit全部古蘭經當前離線    ,KareemTKB,4.8,https://play.google.com/store/apps/details?id=com.andromo.dev531271.app526435
Holy Quran (16 Lines per page),  特別16號線古蘭經在你手中真正古蘭經的感覺。    ,FanzeTech,4.7,https://play.google.com/store/apps/details?id=com.fanzetech.holyquran
Al Quran-ul-Kareem,  對於穆斯林世界的免費數字閱讀古蘭經    ,IT department of Dawateislami,4.9,https://play.google.com/store/apps/details?id=com.dawateislami.alquranulkareem
Six Kalmas of Islam,  這是一個簡單的Andr​​oid應用程序，樂然伊斯蘭教的六個Kalmas / Kalimas。    ,"Active Mobile Applications, LLC",4.8,https://play.google.com/store/apps/details?id=com.technosys.sixkalmas
برنامج المؤذن .مواقيت الصلاة .تذكير الصلاة,  宣禮員計劃和禱告時間禱告警報    ,EmyPro,4.5,https://play.google.com/store/apps/details?id=com.EmyPro.prayertimes
Echo Prayer,  這種工具可以幫助你祈禱    ,Echo Prayer,4.3,https://play.google.com/store/apps/details?id=com.cloversites.echo
Azan Makkah,  從Mekkah和世界各地著名的宣禮收集    ,ZAPP Android,4.7,https://play.google.com/store/apps/details?id=com.andromo.dev651113.app647410
